q,final_cost,n_days_used
0.05,1228.3057312847268,5
0.0909,1195.8791632280108,5
0.1,1192.2613918805205,5
0.15,1252.5321288797986,4
0.2,1306.2944278379023,4
0.25,1360.1418939616458,3
0.3,1374.177527241484,3
0.35,1413.9079700866687,3
0.4,1510.4809378306436,2
0.45,1534.9907144149106,2
0.5,1581.7751084073316,2
0.55,1588.729510146961,2
0.6,1616.1207379426132,2
0.65,1647.2982924292396,2
0.7,1682.8977983980287,2
0.75,1701.8383894399856,2
0.8,2526.5490391731505,2
0.85,3393.45314962662,2
0.9,4514.295742525465,2
0.95,5927.395101200445,2
