scenario,ours,no_planning,early_swap,late_swap,travel,overtime,weekly_limit,daily_limit,in_window
s_0,608.0303333333334,2718.094666666667,306.0,230.0,20.295,28.235333333333337,0.0,0.0,13
s_1,841.317,4244.059,260.0,470.0,35.608333333333334,49.70866666666667,0.0,0.0,16
s_2,1112.3865,6062.495000000001,291.5,660.0,53.165166666666664,73.72133333333335,0.0,0.0,21
s_3,667.6073333333333,6542.682000000002,317.0,120.0,38.31033333333333,60.04700000000001,100.0,0.0,22
s_4,1874.4013333333337,5851.714333333333,247.0,160.0,144.06533333333334,301.086,300.0,700.0,16
s_5,821.4541666666665,5071.5633333333335,255.5,350.0,38.42416666666667,51.03,100.0,0.0,16
s_6,1102.2693333333332,7098.326333333333,444.5,310.0,52.18833333333335,62.581,100.0,100.0,22
s_7,752.654,5570.272666666667,249.0,330.0,23.921333333333333,24.232666666666667,100.0,0.0,17
s_8,1110.1458333333335,4976.955333333333,477.5,440.0,39.68516666666667,24.46066666666666,100.0,0.0,20
s_9,999.5878333333332,2874.7013333333334,698.5,230.0,24.077833333333338,24.760000000000005,0.0,0.0,16
s_10,586.9556666666666,3687.4086666666667,322.5,230.0,16.705666666666666,0.0,0.0,0.0,13
s_11,833.9536666666667,3927.2073333333333,669.0,110.0,26.953666666666667,0.0,0.0,0.0,22
s_12,1153.0753333333334,2933.284333333333,969.0,150.0,8.075333333333333,0.0,0.0,0.0,24
s_13,1219.8296666666668,4477.606666666667,844.5,280.0,39.510666666666665,24.319,0.0,0.0,25
s_14,1137.847166666667,3286.992666666667,969.5,90.0,26.69783333333333,25.149333333333328,0.0,0.0,25
s_15,890.6495000000001,3936.9179999999997,372.5,340.0,22.8535,25.545999999999992,100.0,0.0,23
s_16,1038.8445000000002,5448.388666666667,516.0,330.0,63.298500000000004,95.796,0.0,0.0,25
s_17,1444.7445000000002,5983.763999999999,406.0,750.0,61.69283333333333,90.80166666666668,100.0,0.0,25
s_18,2614.8193333333334,4100.321,250.5,2080.0,65.006,90.31333333333333,100.0,0.0,16
s_19,2339.9651666666664,3041.527333333333,220.0,1980.0,47.7775,67.68766666666667,0.0,0.0,15
s_20,1420.6746666666666,2756.9813333333336,184.0,1090.0,52.217999999999996,67.45666666666666,0.0,0.0,16
s_21,3193.7380000000003,3407.8626666666664,396.0,920.0,210.583,441.655,300.0,900.0,12
s_22,1496.3056666666666,2431.982666666667,289.5,1010.0,34.281000000000006,44.27466666666666,0.0,100.0,10
s_23,2813.883333333333,3726.0166666666664,346.0,810.0,164.06666666666666,376.56666666666666,400.0,700.0,13
s_24,787.1406666666667,2898.9506666666666,184.5,400.0,41.932333333333325,41.45833333333333,100.0,0.0,12
s_25,862.3731666666666,3528.9506666666666,165.0,390.0,37.884499999999996,50.238666666666674,100.0,100.0,13
s_26,471.07916666666665,2975.309666666667,171.0,220.0,26.3085,39.52066666666666,0.0,0.0,11
s_27,518.7751666666667,1895.4969999999998,130.0,370.0,6.744166666666667,0.030999999999998806,0.0,0.0,8
s_28,694.7273333333333,2042.1116666666667,146.5,480.0,24.596,28.88133333333333,0.0,0.0,8
s_29,383.38699999999994,1317.8816666666667,129.0,190.0,23.176333333333336,28.71066666666667,0.0,0.0,7
s_30,452.92833333333334,1357.7046666666668,150.0,220.0,32.939,36.739333333333335,0.0,0.0,8
s_31,880.6465000000001,2233.015,141.0,100.0,81.89016666666667,138.25633333333334,200.0,200.0,11
s_32,763.2353333333333,3439.4629999999997,260.0,340.0,56.65833333333333,84.577,0.0,0.0,12
s_33,1425.9136666666668,3126.0663333333337,149.5,600.0,91.04366666666668,165.37,200.0,200.0,9
s_34,746.682,3302.5903333333335,96.0,350.0,72.65599999999999,110.77599999999998,0.0,100.0,10
s_35,800.4816666666666,4117.773333333333,153.0,430.0,75.56966666666666,117.41199999999999,0.0,0.0,12
s_36,1064.0791666666667,3604.2100000000005,191.5,490.0,61.073499999999996,98.75566666666666,100.0,100.0,13
s_37,1810.7595,2423.038666666667,316.0,600.0,96.03616666666666,173.47333333333336,400.0,200.0,13
s_38,830.7326666666668,1731.3736666666666,161.0,440.0,46.61366666666667,67.369,0.0,100.0,9
s_39,709.9908333333334,1766.9070000000002,206.0,260.0,46.548500000000004,79.44233333333334,100.0,0.0,12
s_40,702.2353333333333,1768.8246666666666,306.5,210.0,26.135333333333335,42.1,100.0,0.0,16
s_41,483.63166666666666,1689.674,378.5,0.0,34.041333333333334,47.340333333333334,0.0,0.0,21
s_42,751.356,2478.39,273.0,150.0,42.85666666666667,65.49933333333334,100.0,100.0,17
s_43,687.7323333333334,2446.2593333333334,182.5,320.0,27.97733333333333,39.005,100.0,0.0,14
s_44,588.3841666666667,2395.476,358.0,150.0,27.4235,28.71066666666667,0.0,0.0,25
s_45,432.43500000000006,1116.5206666666666,303.5,40.0,24.96633333333333,39.21866666666667,0.0,0.0,25
s_46,647.9805000000001,815.7346666666667,239.0,170.0,42.86983333333333,65.86066666666666,100.0,0.0,25
s_47,714.3271666666667,955.7373333333333,183.5,190.0,34.453833333333336,79.12333333333333,100.0,100.0,25
