scenario,final_cost,do_nothing,oracle,early_penalty,late_penalty,work_cost,limit_penalty,raw_hours,travel_hours,service_hours,overtime_hours,days_used,devices_replaced,devices_late,days_over_cap,weeks_over_cap
s_0,476.53083333333336,3047.916666666667,182.321,113.6042,340.0,22.9267,0.0,15.4633,1.9633,13.5,7.4633,1,12,5,0,0
s_1,681.6051666666666,3827.916666666667,187.961,123.6042,530.0,28.001,0.0,18.0005,2.0005,16.0,10.0005,1,14,6,0,0
s_2,875.0478333333333,4887.916666666666,205.13216666666668,139.1042,700.0,35.9437,0.0,21.9718,2.2218,19.75,13.9718,1,17,7,0,0
s_3,1066.6778333333332,6187.916666666666,366.38433333333336,135.1042,690.0,41.5737,200.0,24.7868,2.2868,22.5,16.7868,1,20,12,1,1
s_4,2351.8121666666666,7437.916666666667,778.4314999999999,38.1042,2050.0,63.708,200.0,35.854,17.104,18.75,27.854,1,15,22,1,1
s_5,1237.2633333333333,8470.0,549.6566666666668,133.5,820.0,83.7633,200.0,45.8817,18.1317,27.75,37.8817,1,25,17,1,1
s_6,1795.954,9610.0,456.13633333333337,83.0,1430.0,82.954,200.0,45.477,17.977,27.5,37.477,1,24,20,1,1
s_7,1261.782983820324,10807.5,475.3475,355.5197,617.5,88.7633,200.0,48.3817,18.1317,30.25,40.3817,1,33,20,1,1
s_8,1224.9456504869906,11947.5,528.856,341.0197,587.5,96.426,200.0,52.213,18.463,33.75,44.213,1,35,25,1,1
s_9,1808.153935281296,12877.5,567.7293333333333,830.0786,677.5,100.5753,200.0,54.2877,18.5377,35.75,46.2877,1,41,29,1,1
s_10,1721.131967640648,13647.5,574.6088333333333,423.706,997.5,99.926,200.0,53.963,18.463,35.5,45.963,1,38,29,1,1
s_11,1221.2289514609722,14377.5,584.3405,644.0173,270.0,107.2117,200.0,57.6058,18.3558,39.25,49.6058,1,45,27,1,1
s_12,1526.4582686146298,15128.75,625.2083333333333,864.7036,351.25,110.5047,200.0,59.2523,18.5023,40.75,51.2523,1,51,32,1,1
s_13,1760.0402686146294,16091.25,661.3555,759.5786,691.25,109.2117,200.0,58.6058,18.3558,40.25,50.6058,1,49,37,1,1
s_14,1713.3954352812964,17040.833333333336,710.5581666666667,780.0161,619.5833,113.796,200.0,60.898,18.648,42.25,52.898,1,53,40,1,1
s_15,1998.239601947963,18147.916666666668,716.0361666666666,899.8286,779.5833,118.8277,200.0,63.4138,18.6638,44.75,55.4138,1,57,42,1,1
s_16,2144.9292686146296,19397.916666666664,758.0516666666667,766.3286,1059.5833,119.0173,200.0,63.5087,18.5087,45.0,55.5087,1,58,42,1,1
s_17,2873.3575534089355,20780.416666666664,751.4698333333333,1276.8876,1242.0833,154.3867,200.0,81.1933,31.1933,50.0,73.1933,1,66,44,1,1
s_18,3015.7455048699076,22080.833333333332,810.6758333333333,1535.5298,1114.1667,166.049,200.0,87.0245,33.7745,53.25,79.0245,1,71,50,1,1
s_19,3672.0067249455096,23130.833333333332,818.0331666666666,2343.6257,980.0,148.381,200.0,78.1905,21.1905,57.0,70.1905,1,82,50,1,1
